,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-04-22,13.9,5.5,8.6,13.9,2.4,6.5,-5.2,40.4,0.0,0,0.0,,0,0,40.9,33.2,283.5,1016.0,27.5,16.0,272.4,23.5,8,10,2024-04-22T05:51:33,2024-04-22T19:34:30,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-04-23,15.7,4.2,9.1,15.7,0.9,7.7,1.5,62.8,0.0,0,0.0,,0,0,47.8,34.6,165.0,1019.7,27.7,15.4,254.8,21.9,8,10,2024-04-23T05:50:03,2024-04-23T19:35:38,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-04-24,18.3,5.0,10.3,18.3,-0.1,8.6,1.9,56.8,0.025,100,8.33,rain,0,0,54.9,33.0,248.5,1011.9,77.0,16.0,119.6,10.3,7,10,2024-04-24T05:48:35,2024-04-24T19:36:45,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-04-25,10.0,1.1,5.5,10.0,-2.9,2.3,-6.0,44.2,0.0,0,0.0,,0,0,40.7,25.8,84.0,1025.8,8.2,16.0,277.9,23.8,9,10,2024-04-25T05:47:07,2024-04-25T19:37:53,0.56,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-04-26,10.0,3.2,7.4,10.0,0.1,5.1,-1.4,55.4,0.0,0,0.0,,0,0,25.9,23.9,126.4,1031.5,6.1,16.0,279.2,24.2,8,10,2024-04-26T05:45:41,2024-04-26T19:39:00,0.59,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,KBED,0518W,KBOS"
5,"Boston, MA, United States",2024-04-27,13.4,3.8,9.8,13.4,0.7,8.8,0.5,53.6,0.0,5,0.0,,0,0,20.5,16.6,181.0,1030.9,32.5,16.2,308.3,26.7,9,10,2024-04-27T05:44:15,2024-04-27T19:40:07,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
6,"Boston, MA, United States",2024-04-28,16.2,8.4,12.3,16.2,5.9,11.4,6.2,67.0,0.0,18,0.0,rain,0,0,22.3,14.8,219.2,1022.4,73.8,13.4,193.0,16.8,5,10,2024-04-28T05:42:51,2024-04-28T19:41:14,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2024-04-29,16.7,12.5,15.1,16.7,12.5,15.1,9.6,70.4,0.0,16,0.0,rain,0,0,25.9,16.6,34.6,1014.8,50.9,16.3,239.8,20.6,5,10,2024-04-29T05:41:27,2024-04-29T19:42:21,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
