,datetime,tempmin,temp,tempmax
0,2024-04-22,5.5,8.7,13.9
1,2024-04-23,5.6,9.3,13.4
2,2024-04-24,5.6,9.0,12.3
3,2024-04-25,2.8,6.1,9.5
4,2024-04-26,2.9,8.4,13.2
5,2024-04-27,4.3,9.8,14.8
6,2024-04-28,9.1,14.6,20.3
7,2024-04-29,14.2,17.0,20.5
