,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-04-15,22.2,8.3,14.3,22.2,7.1,14.0,6.1,62.5,0.006,100,4.17,rain,0,0,54.3,36.8,282.8,1008.6,62.0,15.9,200.4,17.4,10,10,2024-04-15T06:02:25,2024-04-15T19:26:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-04-16,20.0,9.8,14.4,20.0,8.3,14.3,1.8,45.3,0.0,0,0.0,,0,0,42.4,27.6,298.6,1017.2,32.2,16.0,251.3,21.8,9,10,2024-04-16T06:00:49,2024-04-16T19:27:45,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-04-17,11.7,6.2,8.8,11.7,4.6,6.5,2.1,63.6,0.0,0,0.0,,0,0,31.7,33.1,90.5,1022.2,55.3,16.0,235.5,20.2,8,10,2024-04-17T05:59:15,2024-04-17T19:28:52,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-04-18,8.4,6.7,7.7,6.8,3.4,5.0,3.8,76.7,3.936,100,33.33,rain,0,0,35.3,25.6,70.6,1021.8,99.5,15.6,53.6,4.6,2,10,2024-04-18T05:57:41,2024-04-18T19:30:00,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-04-19,11.8,6.7,9.1,11.8,4.3,7.9,4.0,71.7,0.0,0,0.0,,0,0,51.7,36.4,114.3,1021.0,90.4,16.0,202.2,17.4,8,10,2024-04-19T05:56:07,2024-04-19T19:31:08,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-04-20,15.0,8.9,11.0,15.0,5.9,9.8,6.1,74.5,7.383,100,33.33,rain,0,0,46.4,25.9,227.0,1012.7,93.3,15.2,75.9,6.7,5,10,2024-04-20T05:54:35,2024-04-20T19:32:15,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-04-21,11.2,4.9,8.5,11.2,1.4,6.4,-3.3,43.8,0.0,0,0.0,,0,0,49.9,29.3,275.2,1013.1,61.9,16.0,145.1,12.6,6,10,2024-04-21T05:53:04,2024-04-21T19:33:23,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-04-22,13.9,5.5,8.6,13.9,2.5,6.5,-5.2,40.4,0.0,0,0.0,,0,0,40.7,33.3,283.1,1016.0,27.0,16.0,272.6,23.5,8,10,2024-04-22T05:51:33,2024-04-22T19:34:30,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
