,datetime,tempmin,temp,tempmax
0,2024-04-15,8.3,14.3,22.2
1,2024-04-16,9.8,14.4,20.0
2,2024-04-17,6.2,8.8,11.7
3,2024-04-18,6.7,7.7,8.4
4,2024-04-19,6.7,9.1,11.8
5,2024-04-20,8.9,11.0,15.0
6,2024-04-21,4.9,8.5,11.2
7,2024-04-22,5.5,8.6,13.9
