,datetime,description,icon
0,2024-04-15,Partly cloudy throughout the day with late afternoon rain.,rain
1,2024-04-16,Becoming cloudy in the afternoon.,partly-cloudy-day
2,2024-04-17,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2024-04-18,Cloudy skies throughout the day with rain.,rain
4,2024-04-19,Cloudy skies throughout the day.,cloudy
5,2024-04-20,Cloudy skies throughout the day with rain.,rain
6,2024-04-21,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-04-22,Partly cloudy throughout the day.,partly-cloudy-day
